"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010121","Purebred breeding animals","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010129","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010130","Asses","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010190","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010221","Purebred breeding animals","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010229","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010231","Purebred breeding animals","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010239","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010290","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010391","Weighing less than 50 kg","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010392","Weighing 50 kg or more","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010410","Sheep","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
